total:	620

child:	5
adult:	597
female:	574
male:	23
artificial:	18


speakers:	[('MOT', 574), ('FAT', 23), ('TVS', 18), ('SIS', 5)]

correct_child_distribution:	[('CXN', 3), ('CHN', 1)]
correct_adult_distribution:	[('FAN', 408), ('MAN', 11), ('FAF', 9), ('MAF', 5)]
correct_female_distribution:	[('FAN', 404), ('FAF', 8)]
correct_male_distribution:	[('MAN', 9), ('MAF', 4)]
correct_artificial_distribution:	[('TVF', 2)]

incorrect_child_distribution:	[('OLN', 1)]
incorrect_adult_distribution:	[('CHN', 70), ('OLN', 41), ('CXN', 31), ('TVF', 6), ('NOF', 5), ('OLF', 4), ('TVN', 2), ('SIL', 2), ('NON', 1), ('CHF', 1), ('CXF', 1)]
incorrect_female_distribution:	[('CHN', 70), ('OLN', 38), ('CXN', 31), ('TVF', 6), ('NOF', 5), ('OLF', 3), ('MAN', 2), ('TVN', 2), ('SIL', 2), ('CHF', 1), ('CXF', 1), ('MAF', 1)]
incorrect_male_distribution:	[('FAN', 4), ('OLN', 3), ('NON', 1), ('FAF', 1), ('OLF', 1)]
incorrect_artificial_distribution:	[('CXN', 6), ('NOF', 5), ('NON', 1), ('OLN', 1), ('CHN', 1), ('MAF', 1), ('MAN', 1)]
