total:	1382

child:	0
adult:	1318
female:	705
male:	613
artificial:	64


speakers:	[('MOT', 625), ('FAT', 613), ('FFR', 80), ('TOY', 64)]

correct_child_distribution:	[]
correct_adult_distribution:	[('FAN', 584), ('MAN', 311), ('FAF', 13), ('MAF', 10)]
correct_female_distribution:	[('FAN', 442), ('FAF', 12)]
correct_male_distribution:	[('MAN', 294), ('MAF', 9)]
correct_artificial_distribution:	[('TVN', 5)]

incorrect_child_distribution:	[]
incorrect_adult_distribution:	[('OLN', 173), ('TVN', 109), ('CHN', 42), ('CXN', 27), ('OLF', 25), ('NOF', 12), ('SIL', 5), ('TVF', 4), ('NON', 2), ('CXF', 1)]
incorrect_female_distribution:	[('OLN', 95), ('TVN', 82), ('OLF', 17), ('MAN', 17), ('CHN', 16), ('CXN', 14), ('NOF', 5), ('SIL', 2), ('TVF', 1), ('CXF', 1), ('MAF', 1)]
incorrect_male_distribution:	[('FAN', 142), ('OLN', 78), ('TVN', 27), ('CHN', 26), ('CXN', 13), ('OLF', 8), ('NOF', 7), ('TVF', 3), ('SIL', 3), ('NON', 2), ('FAF', 1)]
incorrect_artificial_distribution:	[('OLN', 22), ('CXN', 22), ('OLF', 9), ('FAN', 4), ('CXF', 1), ('FAF', 1)]
