total:	332

child:	14
adult:	311
female:	265
male:	46
artificial:	7


speakers:	[('MOT', 265), ('FAT', 46), ('SIS', 14), ('TVF', 7)]

correct_child_distribution:	[('CHN', 4), ('CXN', 3)]
correct_adult_distribution:	[('FAN', 179), ('MAN', 42), ('FAF', 5), ('MAF', 1)]
correct_female_distribution:	[('FAN', 166), ('FAF', 5)]
correct_male_distribution:	[('MAN', 19), ('MAF', 1)]
correct_artificial_distribution:	[('TVN', 7)]

incorrect_child_distribution:	[('OLN', 3), ('FAN', 2), ('NOF', 1), ('OLF', 1)]
incorrect_adult_distribution:	[('OLN', 52), ('CHN', 15), ('TVF', 4), ('OLF', 3), ('CXN', 3), ('SIL', 3), ('NOF', 2), ('NON', 1), ('TVN', 1)]
incorrect_female_distribution:	[('OLN', 45), ('MAN', 23), ('CHN', 12), ('TVF', 4), ('CXN', 3), ('OLF', 2), ('SIL', 2), ('NON', 1), ('NOF', 1), ('TVN', 1)]
incorrect_male_distribution:	[('FAN', 13), ('OLN', 7), ('CHN', 3), ('OLF', 1), ('NOF', 1), ('SIL', 1)]
incorrect_artificial_distribution:	[]
