total:	844

child:	44
adult:	800
female:	703
male:	97
artificial:	0


speakers:	[('GRM', 443), ('MOT', 227), ('GRP', 92), ('SIS', 44), ('AUN', 32), ('FAT', 3), ('UNC', 2), ('MIS', 1)]

correct_child_distribution:	[('CXN', 26), ('CHN', 8), ('CXF', 1)]
correct_adult_distribution:	[('FAN', 444), ('MAN', 161), ('MAF', 10), ('FAF', 7)]
correct_female_distribution:	[('FAN', 442), ('FAF', 7)]
correct_male_distribution:	[('MAN', 77), ('MAF', 2)]
correct_artificial_distribution:	[]

incorrect_child_distribution:	[('OLN', 6), ('FAN', 2), ('OLF', 1)]
incorrect_adult_distribution:	[('OLN', 105), ('CHN', 34), ('CXN', 17), ('OLF', 8), ('TVF', 5), ('NOF', 3), ('CHF', 2), ('SIL', 2), ('NON', 1), ('TVN', 1)]
incorrect_female_distribution:	[('OLN', 94), ('MAN', 84), ('CHN', 33), ('CXN', 17), ('MAF', 8), ('OLF', 5), ('TVF', 4), ('NOF', 3), ('CHF', 2), ('SIL', 2), ('NON', 1), ('TVN', 1)]
incorrect_male_distribution:	[('OLN', 11), ('OLF', 3), ('FAN', 2), ('CHN', 1), ('TVF', 1)]
incorrect_artificial_distribution:	[]
