total:	626

child:	6
adult:	613
female:	313
male:	281
artificial:	7


speakers:	[('MOT', 294), ('FAT', 202), ('UNC', 44), ('ADM', 34), ('NB1', 16), ('MTV', 8), ('TVN', 7), ('LVF', 7), ('COU', 6), ('GRM', 4), ('AD1', 3), ('FTV', 1)]

correct_child_distribution:	[('CXN', 2), ('CHN', 1)]
correct_adult_distribution:	[('MAN', 219), ('FAN', 210), ('FAF', 5), ('MAF', 2)]
correct_female_distribution:	[('FAN', 172), ('FAF', 5)]
correct_male_distribution:	[('MAN', 190), ('MAF', 1)]
correct_artificial_distribution:	[('TVF', 1)]

incorrect_child_distribution:	[('OLN', 2), ('FAN', 1)]
incorrect_adult_distribution:	[('OLN', 113), ('OLF', 20), ('CHN', 17), ('CXN', 12), ('NOF', 7), ('TVN', 5), ('SIL', 2), ('CXF', 1)]
incorrect_female_distribution:	[('OLN', 71), ('MAN', 15), ('OLF', 14), ('CHN', 14), ('CXN', 12), ('NOF', 6), ('TVN', 1), ('CXF', 1), ('MAF', 1), ('SIL', 1)]
incorrect_male_distribution:	[('OLN', 42), ('FAN', 34), ('OLF', 5), ('TVN', 4), ('CHN', 3), ('NOF', 1), ('SIL', 1)]
incorrect_artificial_distribution:	[('OLN', 2), ('MAN', 2), ('FAF', 1), ('FAN', 1)]
