total:	571

child:	50
adult:	446
female:	433
male:	13
artificial:	75


speakers:	[('MOT', 429), ('SIS', 50), ('TVN', 42), ('TOY', 33), ('FAT', 10), ('LFV', 4), ('MAN', 3)]

correct_child_distribution:	[('CXN', 18), ('CHN', 3), ('CXF', 2)]
correct_adult_distribution:	[('FAN', 274), ('MAN', 34), ('FAF', 16), ('MAF', 3)]
correct_female_distribution:	[('FAN', 272), ('FAF', 16)]
correct_male_distribution:	[('MAN', 8)]
correct_artificial_distribution:	[('TVN', 34), ('TVF', 4)]

incorrect_child_distribution:	[('FAN', 13), ('OLN', 9), ('OLF', 4), ('SIL', 1)]
incorrect_adult_distribution:	[('OLN', 84), ('OLF', 12), ('NOF', 8), ('CHN', 5), ('CXN', 4), ('SIL', 2), ('CHF', 1), ('TVN', 1), ('CXF', 1), ('TVF', 1)]
incorrect_female_distribution:	[('OLN', 81), ('MAN', 26), ('OLF', 12), ('NOF', 8), ('CHN', 5), ('CXN', 4), ('MAF', 3), ('SIL', 2), ('TVF', 1), ('CHF', 1), ('TVN', 1), ('CXF', 1)]
incorrect_male_distribution:	[('OLN', 3), ('FAN', 2)]
incorrect_artificial_distribution:	[('OLF', 8), ('FAN', 8), ('OLN', 7), ('CXN', 7), ('FAF', 3), ('CXF', 2), ('MAF', 1), ('SIL', 1)]
