total:	409

child:	0
adult:	192
female:	147
male:	45
artificial:	217
overlap:	0


speakers:	[('MOT', 147), ('TOY', 112), ('TVN', 105), ('FAT', 45)]

correct_child_distribution:	[]
correct_adult_distribution:	[('FAN', 86), ('MAN', 44), ('FAF', 1)]
correct_female_distribution:	[('FAN', 82), ('FAF', 1)]
correct_male_distribution:	[('MAN', 30)]
correct_artificial_distribution:	[('TVN', 22), ('TVF', 15)]
correct_overlap_distribution:	[]

incorrect_child_distribution:	[]
incorrect_adult_distribution:	[('OLN', 43), ('CHN', 12), ('CXN', 4), ('OLF', 2)]
incorrect_female_distribution:	[('OLN', 35), ('MAN', 14), ('CHN', 12), ('CXN', 3)]
incorrect_male_distribution:	[('OLN', 8), ('FAN', 4), ('OLF', 2), ('CXN', 1)]
incorrect_artificial_distribution:	[('OLN', 54), ('CXN', 44), ('OLF', 32), ('MAN', 13), ('CHN', 11), ('FAN', 8), ('MAF', 8), ('CXF', 6), ('CHF', 1), ('NOF', 1), ('SIL', 1), ('FAF', 1)]
incorrect_overlap_distribution:	[]
