total:	626

child:	6
adult:	604
female:	305
male:	280
artificial:	7
overlap:	9


speakers:	[('MOT', 294), ('FAT', 202), ('UNC', 44), ('ADM', 34), ('NB1', 16), ('MTV', 8), ('TVN', 7), ('LVF', 7), ('COU', 6), ('GRM', 4), ('AD1', 3), ('FTV', 1)]

correct_child_distribution:	[('CXN', 2), ('CHN', 1)]
correct_adult_distribution:	[('MAN', 219), ('FAN', 205), ('FAF', 5), ('MAF', 2)]
correct_female_distribution:	[('FAN', 168), ('FAF', 5)]
correct_male_distribution:	[('MAN', 190), ('MAF', 1)]
correct_artificial_distribution:	[('TVF', 1)]
correct_overlap_distribution:	[('OLN', 3), ('OLF', 1)]

incorrect_child_distribution:	[('OLN', 2), ('FAN', 1)]
incorrect_adult_distribution:	[('OLN', 110), ('OLF', 19), ('CHN', 17), ('CXN', 12), ('NOF', 7), ('TVN', 5), ('SIL', 2), ('CXF', 1)]
incorrect_female_distribution:	[('OLN', 68), ('MAN', 15), ('CHN', 14), ('OLF', 13), ('CXN', 12), ('NOF', 6), ('TVN', 1), ('CXF', 1), ('MAF', 1), ('SIL', 1)]
incorrect_male_distribution:	[('OLN', 42), ('FAN', 33), ('OLF', 5), ('TVN', 4), ('CHN', 3), ('NOF', 1), ('SIL', 1)]
incorrect_artificial_distribution:	[('OLN', 2), ('MAN', 2), ('FAF', 1), ('FAN', 1)]
incorrect_overlap_distribution:	[('FAN', 5)]
