total:	1052

child:	397
adult:	596
female:	591
male:	5
artificial:	57
overlap:	2


speakers:	[('MOT', 591), ('SIS', 397), ('TOY', 57), ('FAT', 5), ('MIS', 2)]

correct_child_distribution:	[('CXN', 212), ('CHN', 24), ('CXF', 1)]
correct_adult_distribution:	[('FAN', 374), ('MAN', 40), ('FAF', 9), ('MAF', 5)]
correct_female_distribution:	[('FAN', 374), ('FAF', 9)]
correct_male_distribution:	[('MAN', 3)]
correct_artificial_distribution:	[]
correct_overlap_distribution:	[('OLN', 1)]

incorrect_child_distribution:	[('OLN', 79), ('FAN', 65), ('OLF', 7), ('NOF', 6), ('TVF', 1), ('FAF', 1), ('SIL', 1)]
incorrect_adult_distribution:	[('OLN', 80), ('OLF', 36), ('NOF', 19), ('CXN', 17), ('CHN', 11), ('NON', 2), ('SIL', 2), ('CHF', 1)]
incorrect_female_distribution:	[('OLN', 78), ('MAN', 37), ('OLF', 36), ('NOF', 19), ('CXN', 17), ('CHN', 11), ('MAF', 5), ('NON', 2), ('SIL', 2), ('CHF', 1)]
incorrect_male_distribution:	[('OLN', 2)]
incorrect_artificial_distribution:	[('OLN', 25), ('CXN', 22), ('FAN', 9), ('OLF', 1)]
incorrect_overlap_distribution:	[('FAN', 1)]
