total:	727

child:	0
adult:	545
female:	524
male:	21
artificial:	158
overlap:	24


speakers:	[('GRM', 289), ('MOT', 235), ('TOY', 145), ('GTY', 24), ('FAT', 18), ('TVS', 12), ('UNC', 3), ('TOYS', 1)]

correct_child_distribution:	[]
correct_adult_distribution:	[('FAN', 314), ('MAN', 40), ('MAF', 8), ('FAF', 4)]
correct_female_distribution:	[('FAN', 313), ('FAF', 4)]
correct_male_distribution:	[('MAN', 9)]
correct_artificial_distribution:	[('TVN', 19), ('TVF', 5)]
correct_overlap_distribution:	[('OLN', 4)]

incorrect_child_distribution:	[]
incorrect_adult_distribution:	[('OLN', 104), ('CHN', 30), ('CXN', 19), ('OLF', 10), ('TVN', 5), ('TVF', 5), ('NOF', 4), ('SIL', 2)]
incorrect_female_distribution:	[('OLN', 96), ('MAN', 31), ('CHN', 27), ('CXN', 19), ('OLF', 10), ('MAF', 8), ('TVN', 5), ('TVF', 5), ('NOF', 4), ('SIL', 2)]
incorrect_male_distribution:	[('OLN', 8), ('CHN', 3), ('FAN', 1)]
incorrect_artificial_distribution:	[('OLN', 55), ('CXN', 27), ('FAN', 19), ('CHN', 18), ('OLF', 7), ('MAN', 4), ('MAF', 2), ('NON', 1), ('NOF', 1)]
incorrect_overlap_distribution:	[('TVN', 12), ('CXN', 6), ('FAN', 2)]
