total:	305

child:	3
adult:	288
female:	223
male:	65
artificial:	3
overlap:	11


speakers:	[('MOT', 223), ('FAT', 65), ('MTY', 11), ('SIS', 3), ('TOY', 3)]

correct_child_distribution:	[('CXN', 1)]
correct_adult_distribution:	[('FAN', 139), ('MAN', 46), ('FAF', 7), ('MAF', 2)]
correct_female_distribution:	[('FAN', 133), ('FAF', 5)]
correct_male_distribution:	[('MAN', 32), ('MAF', 2)]
correct_artificial_distribution:	[]
correct_overlap_distribution:	[('OLN', 4)]

incorrect_child_distribution:	[('FAN', 1), ('OLN', 1)]
incorrect_adult_distribution:	[('OLN', 62), ('CXN', 9), ('NOF', 7), ('CHN', 7), ('TVN', 5), ('OLF', 3), ('NON', 1)]
incorrect_female_distribution:	[('OLN', 49), ('MAN', 14), ('CXN', 9), ('CHN', 6), ('OLF', 3), ('NOF', 2), ('TVN', 2)]
incorrect_male_distribution:	[('OLN', 13), ('FAN', 6), ('NOF', 5), ('TVN', 3), ('FAF', 2), ('NON', 1), ('CHN', 1)]
incorrect_artificial_distribution:	[('OLN', 2), ('FAN', 1)]
incorrect_overlap_distribution:	[('FAN', 6), ('CHN', 1)]
