total:	783

child:	0
adult:	783
female:	700
male:	83
artificial:	0
overlap:	0


speakers:	[('MOT', 426), ('GRM', 269), ('GRP', 78), ('ADF', 5), ('FAT', 5)]

correct_child_distribution:	[]
correct_adult_distribution:	[('FAN', 460), ('MAN', 86), ('FAF', 69), ('MAF', 8)]
correct_female_distribution:	[('FAN', 457), ('FAF', 69)]
correct_male_distribution:	[('MAN', 66), ('MAF', 3)]
correct_artificial_distribution:	[]
correct_overlap_distribution:	[]

incorrect_child_distribution:	[]
incorrect_adult_distribution:	[('OLN', 31), ('TVF', 29), ('CXN', 25), ('SIL', 20), ('OLF', 17), ('CXF', 14), ('TVN', 12), ('NOF', 6), ('CHN', 5), ('CHF', 1)]
incorrect_female_distribution:	[('OLN', 28), ('TVF', 27), ('CXN', 25), ('MAN', 20), ('SIL', 20), ('OLF', 16), ('CXF', 14), ('TVN', 9), ('NOF', 5), ('MAF', 5), ('CHN', 4), ('CHF', 1)]
incorrect_male_distribution:	[('TVN', 3), ('FAN', 3), ('OLN', 3), ('TVF', 2), ('OLF', 1), ('NOF', 1), ('CHN', 1)]
incorrect_artificial_distribution:	[]
incorrect_overlap_distribution:	[]
