total:	304

child:	51
adult:	237
female:	117
male:	120
artificial:	11
overlap:	5


speakers:	[('FAT', 119), ('MOT', 104), ('SI1', 23), ('BR1', 14), ('TVN', 11), ('BR2', 9), ('AUN', 9), ('STV', 4), ('GRM', 4), ('SIS', 3), ('SI2', 2), ('GRP', 1), ('FTV', 1)]

correct_child_distribution:	[('CXN', 17), ('CHN', 4), ('CXF', 1)]
correct_adult_distribution:	[('MAN', 85), ('FAN', 82), ('FAF', 2), ('MAF', 1)]
correct_female_distribution:	[('FAN', 73), ('FAF', 1)]
correct_male_distribution:	[('MAN', 76)]
correct_artificial_distribution:	[]
correct_overlap_distribution:	[('OLN', 2)]

incorrect_child_distribution:	[('FAN', 15), ('OLN', 13), ('NOF', 1)]
incorrect_adult_distribution:	[('OLN', 52), ('CHN', 6), ('TVN', 3), ('OLF', 2), ('CXN', 2), ('TVF', 1), ('SIL', 1)]
incorrect_female_distribution:	[('OLN', 25), ('MAN', 9), ('CHN', 4), ('OLF', 2), ('CXN', 2), ('MAF', 1)]
incorrect_male_distribution:	[('OLN', 27), ('FAN', 9), ('TVN', 3), ('CHN', 2), ('TVF', 1), ('FAF', 1), ('SIL', 1)]
incorrect_artificial_distribution:	[('OLN', 4), ('CXN', 3), ('NOF', 1), ('FAN', 1), ('CXF', 1), ('MAN', 1)]
incorrect_overlap_distribution:	[('FAN', 1), ('CXN', 1), ('MAN', 1)]
