total:	613

child:	91
adult:	509
female:	205
male:	304
artificial:	13
overlap:	19


speakers:	[('FAT', 302), ('MOT', 204), ('SIS', 72), ('STY', 19), ('TOY', 13), ('ADM', 2), ('ADF', 1)]

correct_child_distribution:	[('CXN', 43), ('CHN', 7), ('CXF', 1)]
correct_adult_distribution:	[('FAN', 138), ('MAN', 132), ('MAF', 9), ('FAF', 7)]
correct_female_distribution:	[('FAN', 107), ('FAF', 5)]
correct_male_distribution:	[('MAN', 126), ('MAF', 8)]
correct_artificial_distribution:	[('TVN', 3)]
correct_overlap_distribution:	[('OLN', 6), ('OLF', 1)]

incorrect_child_distribution:	[('OLN', 27), ('TVN', 8), ('FAN', 2), ('OLF', 1), ('SIL', 1), ('MAN', 1)]
incorrect_adult_distribution:	[('OLN', 106), ('TVN', 37), ('CXN', 23), ('CHN', 16), ('OLF', 13), ('NOF', 10), ('TVF', 10), ('SIL', 6), ('NON', 1), ('CHF', 1)]
incorrect_female_distribution:	[('OLN', 39), ('CHN', 12), ('CXN', 12), ('TVN', 11), ('MAN', 6), ('OLF', 5), ('TVF', 3), ('SIL', 2), ('NOF', 2), ('MAF', 1)]
incorrect_male_distribution:	[('OLN', 67), ('FAN', 31), ('TVN', 26), ('CXN', 11), ('OLF', 8), ('NOF', 8), ('TVF', 7), ('CHN', 4), ('SIL', 4), ('FAF', 2), ('NON', 1), ('CHF', 1)]
incorrect_artificial_distribution:	[('OLN', 7), ('MAN', 2), ('CXN', 1)]
incorrect_overlap_distribution:	[('CXN', 6), ('TVN', 5), ('CXF', 1)]
